0,в южно сахалинске проходит региональный чемпионат по хоккею с мячом,2019-02-02 10:01:22,39560963,[]
1,кикбоксеров дфо встретились на татами сахалина,2019-02-02 07:01:40,39560963,[]
2,приостановлено движение междугородних автобусов из южно сахалинска в углегорск и шахтерск,2019-02-01 15:04:13,39560963,[]
3,при столкновении двух автомобилей в южно сахалинске пострадала пешеход,2019-02-01 08:00:56,39560963,[]
4,в тымовске житель с молодежное подозревается в причинении тяжкого вреда здоровью повлекшего смерть жены,2019-02-01 06:01:41,39560963,[]
5,стартует продажа билетов на игры дети азии,2019-02-01 05:00:53,39560963,[]
6,областные власти планируют построить новую школу в селе озерском,2019-01-31 15:02:47,39560963,[]
7,в южно сахалинске семь школ уже завершили набор в первые классы,2019-01-31 07:01:39,39560963,[]
8,в январе года выплату за рождение первенца удовлетворили южно сахалинским семьям,2019-01-31 05:01:58,39560963,[]
9,мамы детсадовцев сошлись на главной площади томари,2019-01-31 04:00:44,39560963,[]
10,сахалинские спасатели доставили к берегу человек в заливе мордвинова,2019-01-30 15:02:11,39560963,[]
11,сахгу проведет для школьников новый цикл образовательного проекта,2019-01-30 05:01:29,39560963,[]
12,газпром планирует построить в поронайске завод спг,2019-01-30 04:00:07,39560963,[]
13,команда сахалинских боксеров отправилась в дагестан,2019-01-30 03:00:48,39560963,[]
14,сахалинские экскурсоводы готовятся к приему гостей игр дети азии,2019-01-29 14:02:18,39560963,[]
15,в поронайске построят новую школу на мест,2019-01-29 03:00:40,39560963,[]
16,цена на сахалинскую навагу продолжает снижаться,2019-01-29 01:00:35,39560963,[]
17,в поронайске построят новую школу на мест,2019-01-28 15:00:59,39560963,[]
18,в александровск сахалинске врачи не хотели выписывать нужное ребенку лекарство,2019-01-28 13:02:14,39560963,[]
19,огонь детей азии в углегорске побывал на угольном разрезе и хоккейном матче,2019-01-28 02:00:55,39560963,[]
20,спортивный праздник ждет любителей хоккея с мячом и шайбой в дальнем,2019-01-28 01:00:32,39560963,[]
21,в макарове солнечно и морозно приняли эстафету огня зимних игр дети азии,2019-01-27 13:01:52,39560963,[]
22,южносахалинцы предлагают включить в национальную программу развития дальнего востока доступные авиабилеты,2019-01-27 12:01:39,39560963,[]
23,в южно сахалинске провели соревнования по робототехнике среди дошкольников,2019-01-27 00:00:20,39560963,[]
24,родителей призывают быть внимательнее к здоровью детей,2019-01-26 14:01:38,39560963,[]
