Неожиданное продолжение: смоленские врачи оболгали погибшего в коридоре больницы "Красный Крест" пациента  — Я давал показания о самовольном уходе пациента Иванова из больницы, так как до ноября прошлого года числился сотрудником «Красного Креста». Руководители больницы мне говорили: «Защищай бумаги!», — то есть защищай оформленные в отделении истории болезни этого пациента. На самом деле погибший Иванов из больницы не уходил. Мне неожиданно главврач Журавлев предложил уволиться «по собственному желанию» за этот случай, — дает показания в суде молодой медбрат Георгий Яценко.  Фальсификация документов, лжесвидетельство следователям и новая видеозапись – но врачи все равно могут избежать наказания  https://readovka.news/news/41590№%:№%:2019-01-31 20:35:00№%:№%:32608222
В Смоленской области огонь погубил человека  А была бы исправной проводка, этого не случилось бы  https://readovka.ru/news/41635№%:№%:2019-02-02 10:07:59№%:№%:32608222
Смолянин едва не лишился жилья из-за 100-тысячного долга  Когда приставы арестовали квартиру этого далеко не бедного гражданина, он быстро нашел деньги.   Что это было, если не банальная жадность?  https://readovka.ru/news/41634№%:№%:2019-02-02 09:05:04№%:№%:32608222
Штраф за неявку в военкомат может вырасти в десять раз  Внесенный законопроект не делает разницы, получил призывник повестку или нет  https://readovka.news/news/41633№%:№%:2019-02-02 07:05:00№%:№%:32608222
Главные события минувшего дня  «По дороге не обойти». Автохам лишил смолян тротуара Спешившим утром на работу пришлось несладко https://readovka.ru/news/41607  Двое рецидивистов обнесли продовольственный магазин в Смоленске Мужчины «затарились» на 7 тысяч рублей https://readovka.ru/news/41631  «Нашли по кровавым следам»: известный смоленский хирург пытался свести счеты с жизнью из-за страха мучительной смерти Подробности кровавой драмы в Починке https://readovka.ru/news/41599  Первый кандидат подал документы на должность мэра Смоленска Но его никто не знает, ну почти https://readovka.ru/news/41605  Смоленский блогер «сбил» мать троих детей и скрылся с места «ДТП» Вчера утром, 31 января, в Смоленске произошла странная «недоавария». Смоленский блогер Андрей Володчеков «сбил» мать троих детей во дворе собственного дома. Во всяком случае, об этом кричала на всю округу сама «пострадавшая», перекрывая мужчине выезд из двора собственным телом на глазах у малышей. Однако у смолянина другой взгляд на сложившуюся ситуацию... https://readovka.ru/news/41615  #итогозадень@v_smolenske№%:№%:2019-02-02 00:00:04№%:№%:32608222
Не обязательно иметь дорогой фотоаппарат, чтобы видеть интересные кадры  автор фото Сергей Волков  #фотосмоленска@v_smolenske№%:№%:2019-02-01 23:05:00№%:№%:32608222
Двое рецидивистов обнесли продовольственный магазин в Смоленске  Мужчины «затарились» на 7 тысяч рублей  https://readovka.ru/news/41631№%:№%:2019-02-01 22:35:00№%:№%:32608222
Синоптики обещают смолянам пасмурные выходные  Зато с каждым днём весна всё ближе  https://readovka.ru/news/41626№%:№%:2019-02-01 22:05:00№%:№%:32608222
Опытный драчун жестоко избил смолянина  Пострадавший обратился за помощью в полицию  https://readovka.ru/news/41629№%:№%:2019-02-01 21:35:00№%:№%:32608222
В пятницу вечером немного философии не помешает. Особенно, если это "золотой фонд цитат" Readovaka.ru.  Друзья, если вы готовы пополнить наш архив мотивационными, глубокомысленными, бессмысленными или беспощадными изречениями, оставляйте их в комментах. Может быть, в следующий раз мы запостим именно ваши слова.  #цитатыРеадовки№%:№%:2019-02-01 21:05:10№%:№%:32608222
В Смоленске родители всю ночь продежурили под окнами 33 школы  Первый день записи малышей в первый класс обернулся традиционной неразберихой  «Желающих по месту прописки отдать своего ребёнка порядка 300-х человек, так как район Черняховского быстро расширяется, а школа вблизи одна. Мест в школе всего 180»  https://readovka.ru/news/41622№%:№%:2019-02-01 20:35:00№%:№%:32608222
Смолянка похитила из аптеки 250 тысяч рублей  Женщина воспользовалась служебным положением  https://readovka.ru/news/41627№%:№%:2019-02-01 20:05:05№%:№%:32608222
Добрая половина Смоленска останется без горячей воды  Неудобства продлятся пять дней и затронут два района облцентра  https://readovka.ru/news/41623№%:№%:2019-02-01 19:35:00№%:№%:32608222
Бесстрашный полицейский вытащил женщину из полыхающего дома  Храбрость стража порядка спасла смолянке жизнь  https://readovka.ru/news/41621№%:№%:2019-02-01 19:05:03№%:№%:32608222
Смоленский блогер «сбил» мать троих детей и скрылся с места «ДТП»  Вчера утром, 31 января, в Смоленске произошла странная «недоавария». Смоленский блогер Андрей Володчеков «сбил» мать троих детей во дворе собственного дома. Во всяком случае, об этом кричала на всю округу сама «пострадавшая», перекрывая мужчине выезд из двора собственным телом на глазах у малышей. Однако у смолянина другой взгляд на сложившуюся ситуацию...  На сайте опубликована запись с видеорегистратора автолюбителя  https://readovka.ru/news/41615№%:№%:2019-02-01 18:35:00№%:№%:32608222
Вот что у нас за народ! Видно же что впереди затор но всё равно даже на красный сигнал светофора выезжают на Перекрёсток№%:№%:2019-02-01 18:05:05№%:№%:32608222
Смолянка обвиняется в мошенничестве приполучении кредита  Микрозайм обернулся для женщины «макропроблемами»  https://readovka.ru/news/41619№%:№%:2019-02-01 17:45:00№%:№%:32608222
Фура ушла в отбойник на федеральной трассе под Смоленском  Движение на дороге «Москва-Минск» серьезно затруднено  https://readovka.ru/news/41617№%:№%:2019-02-01 17:20:01№%:№%:32608222
В Смоленске собирают помощь приюту для животных «Верность»  Питомцам в первую очередь нужно самое необходимое – пропитание  https://readovka.ru/news/41616№%:№%:2019-02-01 17:05:06№%:№%:32608222
Белорусский минивэн устроил гонки со смоленскими гаишниками  Погоню очевидцы сняли на видео  https://readovka.ru/news/41614№%:№%:2019-02-01 16:35:00№%:№%:32608222
В Смоленске честный чекист сдал коммерсанта начальству  Мужчина пытался купить расположение ФСБшника, но потерпел фиаско. После задержания делец попытался скосить под жертву похищения, однако и эта идея с треском провалилась...  https://readovka.ru/news/41611№%:№%:2019-02-01 15:35:00№%:№%:32608222
В «клетке» для овощей и фруктов смолянам теперь «продают» отходы  Мусор найдётся на любой, даже самый взыскательный вкус  https://readovka.ru/news/41610№%:№%:2019-02-01 15:05:05№%:№%:32608222
В Смоленске объявились похитители автомобильных аккумуляторов  Всё «содержимое» машин на ночь лучше забирать домой  https://readovka.ru/news/41608№%:№%:2019-02-01 14:35:00№%:№%:32608222
«По дороге не обойти». Автохам лишил смолян тротуара  Спешившим утром на работу пришлось несладко  https://readovka.ru/news/41607№%:№%:2019-02-01 14:05:05№%:№%:32608222
Первый кандидат подал документы на должность мэра Смоленска  Но его никто не знает, ну почти  https://readovka.ru/news/41605№%:№%:2019-02-01 13:35:00№%:№%:32608222
Немец с молодым Сталиным на аве провел сексуальный эксперимент в Tinder  Результат впечатляет  https://readovka.news/news/41602№%:№%:2019-02-01 13:05:04№%:№%:32608222
«Нашли по кровавым следам»: известный смоленский хирург пытался свести счеты с жизнью из-за страха мучительной смерти  Подробности кровавой драмы в Починке  В среду, 30 января, пожилая семейная пара начинала свое утро, как обычно, спокойно. Несмотря на возраст, пенсионеры продолжали работать врачами в местной поликлинике. Неспешно позавтракав, супруги вышли из дома, но, пройдя половину пути, мужчина сказал жене, что ему срочно нужно вернуться, и ушел. Спустя считанные часы пенсионер совершит попытку самоубийства...  https://readovka.ru/news/41599№%:№%:2019-02-01 12:35:00№%:№%:32608222
Жёсткое ДТП на Краснинском шоссе в Смоленске сняли на видео  Разбитый ВАЗ остался посреди дороги, его оппонента отбросило в сторону  https://readovka.ru/news/41603№%:№%:2019-02-01 12:15:14№%:№%:32608222
№%:№%:2019-02-01 12:05:03№%:№%:32608222
Смоленск после потепления превратился в сплошной каток  Местные такой бесплатной «забаве» совсем не рады  https://readovka.ru/news/41601№%:№%:2019-02-01 11:45:00№%:№%:32608222
Рисковые смоленские бабушки плевать хотели на пешеходные переходы  А вот и зря  https://readovka.ru/news/41600№%:№%:2019-02-01 11:25:00№%:№%:32608222
«30% ям остались не заделанные». Смоляне остались недовольны ремонтом мостов  Разницу «до» и «после» сняли на видео  А вы уже успели пройти тест-драйв? Что скажете?  https://readovka.ru/news/41598№%:№%:2019-02-01 11:05:05№%:№%:32608222
На Смоленщине в огне погиб 87-летний мужчина  Трагедия произошла этой ночью  https://readovka.ru/news/41596№%:№%:2019-02-01 10:35:00№%:№%:32608222
«Кто-то опоздал на работу»  И снова лютые смоленские маршрутки  https://readovka.ru/news/41597№%:№%:2019-02-01 10:05:14№%:№%:32608222
Смоленская автоледи рассказала про настоящих мужчин и так себе  Главным джентльменом оказался 10-летний школьник  https://readovka.ru/news/41595№%:№%:2019-02-01 09:35:00№%:№%:32608222
Потолок обрушился в рославльской школе  Такого «сюрприза» ученики вряд ли ожидали  https://readovka.ru/news/41594№%:№%:2019-02-01 09:05:06№%:№%:32608222
«Из-за этой машины чуть не пострадали дети»  Еще один мастер парковки претендует на «приз» от ГИБДД  https://readovka.ru/news/41592№%:№%:2019-02-01 08:35:00№%:№%:32608222
Немолодая смолянка дерзко обнесла супермаркет  Женщину «спалили», но она смогла убежать с награбленным  https://readovka.ru/news/41587№%:№%:2019-02-01 08:05:04№%:№%:32608222
На дальние авиаперелеты вернут бесплатный алкоголь  Мы соскучились  https://readovka.news/news/41591№%:№%:2019-02-01 07:05:00№%:№%:32608222
