В Подмосковье скончался известный кинорежиссер Станислав Говорухин  Подробнее - https://yakutsk.news/v-podmoskove-skonchalsya-izvestnyj-kinorezhisser-stanislav-govoruxin/№%:№%:2018-06-15 06:39:35№%:№%:139776120
Житель Алданского района Якутии обвиняется в жестокой расправе  Подробнее - https://yakutsk.news/zhitel-aldanskogo-rajona-yakutii-obvinyaetsya-v-zhestokoj-rasprave/№%:№%:2018-06-15 06:39:34№%:№%:139776120
В Якутии кассир ЖКХ осуждена за хищение 900 тыс рублей  Подробнее - https://yakutsk.news/v-yakutii-kassir-zhkx-osuzhdena-za-xishhenie-900-tys-rublej/№%:№%:2018-06-15 06:39:22№%:№%:139776120
В Якутске 15 июня перекроют улицу Пирогова  Подробнее - https://yakutsk.news/v-yakutske-15-iyunya-perekroyut-ulicy-pirogova/№%:№%:2018-06-15 06:39:09№%:№%:139776120
Отключение света 14 июня в Якутске и двух районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-14-iyunya-v-yakutske-i-dvux-rajonax-yakutii/№%:№%:2018-06-15 06:38:43№%:№%:139776120
Двое жителей Якутска осуждены за приобретение наркотиков  Подробнее - https://yakutsk.news/dvoe-zhitelej-yakutska-osuzhdeny-za-priobretenie-narkotikov/№%:№%:2018-06-13 08:32:54№%:№%:139776120
В Якутии сгорело здание аэровокзала п. Сангар  Подробнее - https://yakutsk.news/v-yakutii-sgorelo-zdanie-aerovokzala-p-sangar/№%:№%:2018-06-13 08:32:28№%:№%:139776120
В Якутске в результате ДТП пострадала 15-летняя девочка  Подробнее - https://yakutsk.news/v-yakutske-v-rezultate-dtp-postradala-15-letnyaya-devochka/№%:№%:2018-06-13 08:32:24№%:№%:139776120
В Якутске мужчину избили, подожгли и сбросили с 3 этажа  Подробнее - https://yakutsk.news/v-yakutske-muzhchinu-izbili-podozhgli-i-sbrosili-3-etazha/№%:№%:2018-06-13 08:31:49№%:№%:139776120
В Якутске с 5 по 7 и с 13 по 15 июня отключат горячую воду  Подробнее - https://yakutsk.news/v-yakutske-s-5-po-7-i-s-13-po-15-iyunya-otklyuchat-goryachuyu-vodu/№%:№%:2018-06-13 08:31:44№%:№%:139776120
Отключение света 5 июня в Якутске и пяти районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-5-iyunya-v-yakutske-i-pyati-rajonax-yakutii/№%:№%:2018-06-05 00:50:32№%:№%:139776120
В Хангаласском районе Якутии пенсионер застрелил 5 человек  Подробнее - https://yakutsk.news/v-xangalasskom-rajone-yakutii-pensioner-zastrelil-5-chelovek/№%:№%:2018-06-05 00:50:18№%:№%:139776120
В Якутии 15-летняя школьница обвиняется в краже телефона  Подробнее - https://yakutsk.news/v-yakutii-15-letnyaya-shkolnica-obvinyaetsya-v-krazhe-telefona/№%:№%:2018-06-05 00:50:11№%:№%:139776120
Отключение света 24 мая в Якутске и трех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-24-maya-v-yakutske-i-trex-rajonax-yakutii/№%:№%:2018-06-05 00:49:49№%:№%:139776120
В Якутске неизвестный водитель совершил столкновение и скрылся  Подробнее - https://yakutsk.news/v-yakutske-neizvestnyj-voditel-sovershil-stolknovenie-i-skrylsya/№%:№%:2018-06-05 00:49:45№%:№%:139776120
В Якутске мужчина обокрал соседей  Подробнее - https://yakutsk.news/v-yakutske-muzhchina-obokral-sosedej/№%:№%:2018-05-23 10:31:41№%:№%:139776120
Житель Якутска избил собутыльника палкой  Подробнее - https://yakutsk.news/zhitel-yakutska-izbil-sobutylnika-palkoj/№%:№%:2018-05-23 10:31:21№%:№%:139776120
В центре Якутска произошло ДТП: пострадали 2 человека  Подробнее - https://yakutsk.news/v-centre-yakutska-proizoshlo-dtp-postradali-2-cheloveka/№%:№%:2018-05-23 10:30:50№%:№%:139776120
Отключение света 23 мая в Якутске и пяти районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-23-maya-v-yakutske-i-pyati-rajonax-yakutii/№%:№%:2018-05-23 10:30:37№%:№%:139776120
В Якутске совершен наезд на 9-летнюю девочку  Подробнее - https://yakutsk.news/v-yakutske-sovershen-naezd-na-9-letnyuyu-devochku/№%:№%:2018-05-23 10:30:33№%:№%:139776120
В Якутске совершен наезд на 14-летнего велосипедиста  Подробнее - https://yakutsk.news/v-yakutske-sovershen-naezd-na-14-letnego-velosipedista/№%:№%:2018-05-22 10:58:19№%:№%:139776120
Двое жителей Якутии, ограбившие предпринимателя, предстанут перед судом  Подробнее - https://yakutsk.news/dvoe-zhitelej-yakutii-ograbivshie-predprinimatelya-predstanut-pered-sudom/№%:№%:2018-05-22 10:58:19№%:№%:139776120
В Якутии пьяный конфликт закончился поножовщиной  Подробнее - https://yakutsk.news/v-yakutii-pyanyj-konflikt-zakonchilsya-ponozhovshhinoj-2/№%:№%:2018-05-22 10:57:53№%:№%:139776120
Жительница Якутска, застрелившая мужа, осуждена на 6 лет  Подробнее - https://yakutsk.news/zhitelnica-yakutska-zastrelivshaya-muzha-osuzhdena-na-6-let/№%:№%:2018-05-22 10:57:39№%:№%:139776120
В Якутске 27 мая из-за "Зеленого марафона" перекроют часть улиц  Подробнее - https://yakutsk.news/v-yakutske-27-maya-iz-za-zelenogo-marafona-perekroyut-chast-ulic/№%:№%:2018-05-22 10:57:32№%:№%:139776120
Житель Якутска устроил стрельбу из ружья в черте города  Подробнее - https://yakutsk.news/zhitel-yakutska-ustroil-strelbu-iz-ruzhya-v-cherte-goroda/№%:№%:2018-05-22 06:28:44№%:№%:139776120
Отключение света 22 мая в Якутске и трех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-22-maya-v-yakutske-i-trex-rajonax-yakutii/№%:№%:2018-05-22 06:28:28№%:№%:139776120
В Якутске пьяный мужчина угрожал коллеге убийством  Подробнее - https://yakutsk.news/v-yakutske-pyanyj-muzhchina-ugrozhal-kollege-ubijstvom/№%:№%:2018-05-22 06:28:17№%:№%:139776120
В Якутии 16-летний школьник обокрал магазин  Подробнее - https://yakutsk.news/v-yakutii-16-letnij-shkolnik-obokral-magazin/№%:№%:2018-05-22 06:28:03№%:№%:139776120
В Якутске менеджер компании микрозаймов обвиняется в мошенничестве  Подробнее - https://yakutsk.news/v-yakutske-menedzher-kompanii-mikrozajmov-obvinyaetsya-v-moshennichestve/№%:№%:2018-05-22 06:27:45№%:№%:139776120
В Якутии организованная группа похитила топливо на миллионы рублей  Подробнее - https://yakutsk.news/v-yakutii-organizovannaya-gruppa-poxitila-toplivo-na-milliony-rublej/№%:№%:2018-05-21 12:23:21№%:№%:139776120
Якутский борец стал лучшим на международном турнире в США  Подробнее - https://yakutsk.news/yakutskij-borec-stal-luchshim-na-mezhdunarodnom-turnire-v-ssha/№%:№%:2018-05-21 12:22:12№%:№%:139776120
Житель Якутии во время пьяной ссоры ударил отца ножом  Подробнее - https://yakutsk.news/zhitel-yakutii-vo-vremya-pyanoj-ssory-udaril-otca-nozhom/№%:№%:2018-05-21 09:29:14№%:№%:139776120
В Санкт-Петербурге при взлете отказал двигатель самолета авиакомпании "АЛРОСА"  Подробнее - https://yakutsk.news/v-sankt-peterburge-pri-vzlete-otkazal-dvigatel-samoleta-aviakompanii-alrosa/№%:№%:2018-05-21 09:29:14№%:№%:139776120
В Якутске водитель отобрал телефон у пассажира  Подробнее - https://yakutsk.news/v-yakutske-voditel-otobral-telefon-u-passazhira/№%:№%:2018-05-21 09:28:43№%:№%:139776120
Жительницу Якутска, случайно убившую сына, ждет суд  Подробнее - https://yakutsk.news/zhitelnicu-yakutska-sluchajno-ubivshuyu-syna-zhdet-sud/№%:№%:2018-05-21 09:28:27№%:№%:139776120
В Якутии пьяный водитель совершил ДТП. Пострадали 2 человека  Подробнее - https://yakutsk.news/v-yakutii-pyanyj-voditel-sovershil-dtp-postradali-2-cheloveka/№%:№%:2018-05-21 09:28:24№%:№%:139776120
Отключение света 21 мая в Якутске и четырех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-21-maya-v-yakutske-i-chetyrex-rajonax-yakutii/№%:№%:2018-05-18 13:52:44№%:№%:139776120
В Усть-Янском районе Якутии 3-летний ребенок выпал с 5 этажа  Подробнее - https://yakutsk.news/v-ust-yanskom-rajone-yakutii-3-letnij-rebenok-vypal-s-5-etazha/№%:№%:2018-05-18 13:52:14№%:№%:139776120
В Хангаласском районе Якутии произошло ДТП: трое человек пострадали  Подробнее - https://yakutsk.news/v-xangalasskom-rajone-yakutii-proizoshlo-dtp-troe-chelovek-postradali/№%:№%:2018-05-18 13:52:14№%:№%:139776120
В Якутске найдено тело пропавшего мужчины  Подробнее - https://yakutsk.news/v-yakutske-najdeno-telo-propavshego-muzhchiny/№%:№%:2018-05-18 13:51:48№%:№%:139776120
Отключение света 18 мая в Якутске и трех районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-18-maya-v-yakutske-i-trex-rajonax-yakutii/№%:№%:2018-05-18 13:51:40№%:№%:139776120
В Мирнинском районе Якутии перевернулся грузовик: водитель погиб  Подробнее - https://yakutsk.news/v-mirninskom-rajone-yakutii-perevernulsya-gruzovik-voditel-pogib/№%:№%:2018-05-17 12:32:06№%:№%:139776120
Юные шашисты из Якутии - чемпионы Европы  Подробнее - https://yakutsk.news/yunye-shashisty-iz-yakutii-chempiony-evropy/№%:№%:2018-05-17 12:32:03№%:№%:139776120
Житель Якутска проник в бар и похитил деньги из кассы  Подробнее - https://yakutsk.news/zhitel-yakutska-pronik-v-bar-i-poxitil-dengi-iz-kassy/№%:№%:2018-05-17 12:31:52№%:№%:139776120
В Якутии на федеральной трассе "Колыма" закрыто движение из-за паводка  Подробнее - https://yakutsk.news/v-yakutii-na-federalnoj-trasse-kolyma-zakryto-dvizheniya-iz-za-pavodka/№%:№%:2018-05-17 12:31:26№%:№%:139776120
В Якутске 16-летнюю девушку сбили на пешеходном переходе  Подробнее - https://yakutsk.news/v-yakutske-16-letnyuyu-devushku-sbili-na-peshexodnom-perexode/№%:№%:2018-05-17 12:31:24№%:№%:139776120
В Якутске на 3 дня перекроют Окружное шоссе  Подробнее - https://yakutsk.news/v-yakutske-na-3-dnya-perekroyut-okruzhnoe-shosse/№%:№%:2018-05-17 07:04:54№%:№%:139776120
В Якутске на 3 дня перекроют Окружное шоссе  Подробнее - https://yakutsk.news/v-yakutske-na-3-dnya-perekroyut-okruzhnoe-shosse/№%:№%:2018-05-17 07:04:54№%:№%:139776120
В Якутске спасены двое детей, провалившихся под лед  Подробнее - https://yakutsk.news/v-yakutske-spaseny-dvoe-detej-provalivshixsya-pod-led/№%:№%:2018-05-17 07:04:43№%:№%:139776120
Жительница Якутии, зарезавшая сына, осуждена на 7,5 лет  Подробнее - https://yakutsk.news/zhitelnica-yakutii-zarezavshaya-syna-osuzhdena-na-75-let/№%:№%:2018-05-17 07:04:23№%:№%:139776120
В Якутии на федеральной трассе "Вилюй" произошло смертельное ДТП  Подробнее - https://yakutsk.news/v-yakutii-na-federalnoj-trasse-vilyuj-proizoshlo-smertelnoe-dtp/№%:№%:2018-05-17 04:05:05№%:№%:139776120
Жителя Якутии, сжегшего двоих людей, ждет принудительное лечение  Подробнее - https://yakutsk.news/zhitelya-yakutii-szhegshego-dvoix-lyudej-zhdet-prinuditelnoe-lechenie/№%:№%:2018-05-17 04:05:01№%:№%:139776120
В Ленском районе Якутии пенсионерку обокрали в день рождения  Подробнее - https://yakutsk.news/v-lenskom-rajone-yakutii-pensionerku-obokrali-v-den-rozhdeniya/№%:№%:2018-05-17 04:04:47№%:№%:139776120
Житель Якутии задержан за кражу солнечной электростанции  Подробнее - https://yakutsk.news/zhitel-yakutii-zaderzhan-za-krazhu-solnechnoj-elektrostancii/№%:№%:2018-05-17 03:36:20№%:№%:139776120
В Якутии 13 мая из-за короткого замыкания сгорели два дома  Подробнее - https://yakutsk.news/v-yakutii-13-maya-iz-za-korotkogo-zamykaniya-sgoreli-dva-doma/№%:№%:2018-05-14 05:11:49№%:№%:139776120
В Якутии во дворе жилого дома сбили ребенка  Подробнее - https://yakutsk.news/v-yakutii-vo-dvore-zhilogo-doma-sbili-rebenka/№%:№%:2018-05-14 05:11:30№%:№%:139776120
Отключение света 14 мая в Якутске и двух районах Якутии  Подробнее - https://yakutsk.news/otklyuchenie-sveta-14-maya-v-yakutske-i-dvux-rajonax-yakutii/№%:№%:2018-05-14 05:11:22№%:№%:139776120
В Якутии один из руководителей УФСИН обвиняется в получении взятки  Подробнее - https://yakutsk.news/v-yakutii-odin-iz-rukovoditelej-ufsin-obvinyaetsya-v-poluchenii-vzyatki/№%:№%:2018-05-14 05:11:00№%:№%:139776120
В Ленском районе Якутии произошло смертельное ДТП  Подробнее - https://yakutsk.news/v-lenskom-rajone-yakutii-proizoshlo-smertelnoe-dtp-2/№%:№%:2018-05-14 05:11:00№%:№%:139776120
В Якутии 1,5 летняя девочка утонула в стиральной машинке  Подробнее - https://yakutsk.news/v-yakutii-15-letnyaya-devochka-utonula-v-stiralnoj-mashinke/№%:№%:2018-05-13 13:14:29№%:№%:139776120
В центре Якутска совершен наезд на ребенка  Подробнее - https://yakutsk.news/v-centre-yakutska-sovershen-naezd-na-rebenka/№%:№%:2018-05-13 13:14:14№%:№%:139776120
Житель Якутска осужден за угон на 1 год и 8 месяц строгого режима  Подробнее - https://yakutsk.news/zhitel-yakutska-osuzhden-za-ugon-na-1-god-i-8-mesyac-strogogo-rezhima/№%:№%:2018-05-13 13:13:54№%:№%:139776120
